sampleid	Sample	Cultivar	Flower.or.leaf	Phenological.stage.old	Phenological.stage	Location.on.tree	Collection.date	Tree.number	Plate	CPS.letters	CD.FL	CPS	cd.ps	T_max	T_max_previous_day	T_min	WetHours	WetHours_previous_day	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
65	65	Spadona	Flower	F	Initial bloom	U	31.03.2019	1	1	Spadona F	31.03.2019 Flower	Spadona Initial bloom	31.03.2019 Initial bloom	13.0	18.1	11.9	17.33	14.32	74210	50161	67.59	49562	43494	58.61	35245	47.49
68	68	Spadona	Flower	F	Initial bloom	D	31.03.2019	2	1	Spadona F	31.03.2019 Flower	Spadona Initial bloom	31.03.2019 Initial bloom	13.0	18.1	11.9	17.33	14.32	72313	51572	71.32	50636	43730	60.47	35442	49.01
82	82	Coscia	Flower	F	Initial bloom	D	11.04.2019	8	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	69181	48646	70.32	47909	42350	61.22	33298	48.13
83	83	Coscia	Flower	F	Initial bloom	U	11.04.2019	8	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	77644	51152	65.88	50239	44877	57.8	34741	44.74
84	84	Coscia	Flower	F	Initial bloom	U	11.04.2019	12	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	62066	44247	71.29	43692	39087	62.98	30358	48.91
88	88	Coscia	Flower	F	Initial bloom	D	11.04.2019	11	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	67058	44994	67.1	44026	38696	57.71	30976	46.19
95	95	Coscia	Flower	F	Initial bloom	U	11.04.2019	10	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	67386	45486	67.5	44483	39458	58.56	30965	45.95
96	96	Coscia	Flower	F	Initial bloom	D	11.04.2019	10	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	68172	51076	74.92	50238	45980	67.45	28111	41.24
98	98	Coscia	Flower	F	Initial bloom	D	11.04.2019	12	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	69747	49909	71.56	49210	44601	63.95	36347	52.11
102	102	Coscia	Flower	F	Initial bloom	D	11.04.2019	9	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	69613	45755	65.73	44996	39875	57.28	33075	47.51
103	103	Coscia	Flower	F	Initial bloom	U	11.04.2019	7	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	69330	49285	71.09	48814	45361	65.43	28179	40.64
106	106	Coscia	Flower	F	Initial bloom	U	11.04.2019	9	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	70320	49587	70.52	48673	43484	61.84	33842	48.13
114	114	Coscia	Flower	F	Initial bloom	D	11.04.2019	7	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	1526	1042	68.28	1035	1035	67.82	1035	67.82
117	117	Coscia	Flower	F	Initial bloom	U	11.04.2019	11	1	Coscia F	11.04.2019 Flower	Coscia Initial bloom	11.04.2019 Initial bloom	23.2	22.6	7.3	9.17	3.77	78161	52761	67.5	51866	45739	58.52	38322	49.03
123	123	Coscia	Flower	F	Initial bloom	D	13.04.2019	12	1	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	61120	43818	71.69	43305	39256	64.23	32968	53.94
124	124	Coscia	Flower	F	Initial bloom	D	13.04.2019	9	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	67802	44930	66.27	44150	39301	57.96	29303	43.22
126	126	Coscia	Flower	F	Initial bloom	U	13.04.2019	10	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	63196	42254	66.86	41591	37454	59.27	27252	43.12
127	127	Coscia	Flower	F	Initial bloom	U	13.04.2019	8	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	74762	50028	66.92	49322	43721	58.48	35226	47.12
150	150	Coscia	Flower	F	Initial bloom	U	13.04.2019	11	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	63374	43382	68.45	42466	37735	59.54	30964	48.86
153	153	Coscia	Flower	F	Initial bloom	D	13.04.2019	11	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	66512	47242	71.03	46352	41195	61.94	31118	46.79
154	154	Coscia	Flower	F	Initial bloom	D	13.04.2019	7	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	65612	43694	66.59	42809	38327	58.41	30804	46.95
155	155	Coscia	Flower	F	Initial bloom	U	13.04.2019	7	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	49882	34483	69.13	33378	28990	58.12	22499	45.1
161	161	Coscia	Flower	F	Initial bloom	U	13.04.2019	12	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	56779	39431	69.45	38800	34694	61.1	27932	49.19
162	162	Coscia	Flower	F	Initial bloom	D	13.04.2019	8	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	61630	43279	70.22	42385	37225	60.4	28050	45.51
167	167	Coscia	Flower	F	Initial bloom	U	15.04.2019	11	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	73598	52498	71.33	51858	46820	63.62	35085	47.67
170	170	Coscia	Flower	F	Initial bloom	U	15.04.2019	7	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	53500	39037	72.97	38372	34610	64.69	25316	47.32
171	171	Coscia	Flower	F	Initial bloom	D	15.04.2019	9	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	65366	45748	69.99	44887	39334	60.18	29928	45.79
176	176	Coscia	Flower	F	Initial bloom	U	15.04.2019	9	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	74442	50333	67.61	49303	42157	56.63	33119	44.49
181	181	Coscia	Flower	F	Initial bloom	D	15.04.2019	7	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	92030	64285	69.85	63317	56407	61.29	38894	42.26
186	186	Coscia	Flower	F	Initial bloom	D	15.04.2019	8	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	70121	49110	70.04	48378	43418	61.92	26827	38.26
191	191	Coscia	Flower	F	Initial bloom	U	15.04.2019	8	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	78282	56753	72.5	55732	49204	62.85	36949	47.2
195	195	Coscia	Flower	F	Initial bloom	U	15.04.2019	12	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	81198	58025	71.46	57132	51620	63.57	31790	39.15
196	196	Coscia	Flower	F	Initial bloom	U	15.04.2019	10	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	76312	53777	70.47	52922	46802	61.33	36484	47.81
199	199	Coscia	Flower	F	Initial bloom	D	15.04.2019	12	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	67734	48167	71.11	47470	42094	62.15	29148	43.03
204	204	Coscia	Flower	F	Initial bloom	U	13.04.2019	9	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	53277	35668	66.95	35007	30651	57.53	24762	46.48
206	206	Coscia	Flower	F	Initial bloom	D	13.04.2019	10	2	Coscia F	13.04.2019 Flower	Coscia Initial bloom	13.04.2019 Initial bloom	31.7	27.7	8.3	9.24	9.34	68364	48628	71.13	48095	44464	65.04	32536	47.59
208	208	Coscia	Flower	F	Initial bloom	D	15.04.2019	11	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	59398	40084	67.48	39019	33796	56.9	26971	45.41
230	230	Coscia	Flower	F	Initial bloom	D	15.04.2019	10	2	Coscia F	15.04.2019 Flower	Coscia Initial bloom	15.04.2019 Initial bloom	19.4	25.5	10.6	3.02	0	58770	42192	71.79	41222	36876	62.75	25437	43.28
143	143	Coscia	Flower	G	Initial petal fall	D	21.04.2019	9	3	Coscia G	21.04.2019 Flower	Coscia Initial petal fall	21.04.2019 Initial petal fall	20.6	21	9.2	8.33	14.02	61528	45418	73.82	44823	41533	67.5	21638	35.17
211	211	Coscia	Flower	G	Initial petal fall	U	18.04.2019	7	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	55010	39287	71.42	38712	35357	64.27	19369	35.21
216	216	Coscia	Flower	G	Initial petal fall	U	18.04.2019	10	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	82369	60430	73.36	60066	57453	69.75	36697	44.55
217	217	Coscia	Flower	G	Initial petal fall	D	18.04.2019	9	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	66028	48816	73.93	48443	45843	69.43	29694	44.97
219	219	Coscia	Flower	G	Initial petal fall	D	18.04.2019	8	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	70440	52982	75.22	52587	50171	71.23	27718	39.35
225	225	Coscia	Flower	G	Initial petal fall	U	18.04.2019	11	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	60637	45228	74.59	44761	42670	70.37	25760	42.48
236	236	Coscia	Flower	G	Initial petal fall	D	18.04.2019	11	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	70536	51208	72.6	50900	49272	69.85	30358	43.04
241	241	Coscia	Flower	G	Initial petal fall	D	18.04.2019	7	2	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	66704	49189	73.74	48777	46951	70.39	26849	40.25
242	242	Coscia	Flower	G	Initial petal fall	D	18.04.2019	10	3	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	70079	50587	72.19	49621	44149	63	29269	41.77
244	244	Coscia	Flower	G	Initial petal fall	D	18.04.2019	12	3	Coscia G	18.04.2019 Flower	Coscia Initial petal fall	18.04.2019 Initial petal fall	23	21.9	7.3	9.62	7.06	69632	52997	76.11	52712	51491	73.95	32074	46.06
247	247	Coscia	Flower	G	Initial petal fall	U	21.04.2019	7	3	Coscia G	21.04.2019 Flower	Coscia Initial petal fall	21.04.2019 Initial petal fall	20.6	21	9.2	8.33	14.02	70417	52619	74.72	52209	48977	69.55	30682	43.57
250	250	Coscia	Flower	G	Initial petal fall	U	21.04.2019	8	3	Coscia G	21.04.2019 Flower	Coscia Initial petal fall	21.04.2019 Initial petal fall	20.6	21	9.2	8.33	14.02	81332	60150	73.96	59843	57403	70.58	34108	41.94
251	251	Coscia	Flower	G	Initial petal fall	D	21.04.2019	8	3	Coscia G	21.04.2019 Flower	Coscia Initial petal fall	21.04.2019 Initial petal fall	20.6	21	9.2	8.33	14.02	70426	52625	74.72	52134	49146	69.78	30811	43.75
254	254	Coscia	Flower	G	Initial petal fall	U	21.04.2019	9	3	Coscia G	21.04.2019 Flower	Coscia Initial petal fall	21.04.2019 Initial petal fall	20.6	21	9.2	8.33	14.02	64740	47025	72.64	46689	44254	68.36	30307	46.81
264	264	Coscia	Flower	G	Initial petal fall	D	21.04.2019	10	3	Coscia G	21.04.2019 Flower	Coscia Initial petal fall	21.04.2019 Initial petal fall	20.6	21	9.2	8.33	14.02	68725	49841	72.52	49429	47567	69.21	28552	41.55
11	11	Spadona	Leaf	Leaf	Leaf	NA	24.03.2019	6	1	Spadona Leaf	24.03.2019 Leaf	Spadona Leaf	24.03.2019 Leaf	20.6	21	9.2	8.33	14.02	76286	54365	71.26	53655	47348	62.07	38211	50.09
13	13	Spadona	Leaf	Leaf	Leaf	NA	24.03.2019	3	1	Spadona Leaf	24.03.2019 Leaf	Spadona Leaf	24.03.2019 Leaf	20.6	21	9.2	8.33	14.02	126186	90253	71.52	89312	80605	63.88	62772	49.75
14	14	Spadona	Leaf	Leaf	Leaf	NA	24.03.2019	1	1	Spadona Leaf	24.03.2019 Leaf	Spadona Leaf	24.03.2019 Leaf	20.6	21	9.2	8.33	14.02	74845	53072	70.91	52344	46463	62.08	32802	43.83
18	18	Spadona	Leaf	Leaf	Leaf	NA	24.03.2019	4	1	Spadona Leaf	24.03.2019 Leaf	Spadona Leaf	24.03.2019 Leaf	20.6	21	9.2	8.33	14.02	72283	51557	71.33	50921	44448	61.49	35700	49.39
20	20	Spadona	Leaf	Leaf	Leaf	NA	24.03.2019	5	1	Spadona Leaf	24.03.2019 Leaf	Spadona Leaf	24.03.2019 Leaf	20.6	21	9.2	8.33	14.02	71316	50428	70.71	49868	42765	59.97	35792	50.19
23	23	Spadona	Leaf	Leaf	Leaf	NA	24.03.2019	2	1	Spadona Leaf	24.03.2019 Leaf	Spadona Leaf	24.03.2019 Leaf	20.6	21	9.2	8.33	14.02	74563	53971	72.38	53659	48467	65	33150	44.46
40	40	Spadona	Leaf	Leaf	Leaf	NA	27.03.2019	1	1	Spadona Leaf	27.03.2019 Leaf	Spadona Leaf	27.03.2019 Leaf	19.3	19.3	7	8.86	5.3	90595	62355	68.83	62118	54702	60.38	46151	50.94
43	43	Spadona	Leaf	Leaf	Leaf	NA	27.03.2019	6	1	Spadona Leaf	27.03.2019 Leaf	Spadona Leaf	27.03.2019 Leaf	19.3	19.3	7	8.86	5.3	66664	47298	70.95	47066	41308	61.96	33953	50.93
44	44	Spadona	Leaf	Leaf	Leaf	NA	27.03.2019	5	1	Spadona Leaf	27.03.2019 Leaf	Spadona Leaf	27.03.2019 Leaf	19.3	19.3	7	8.86	5.3	66406	44675	67.28	44477	38978	58.7	32344	48.71
45	45	Spadona	Leaf	Leaf	Leaf	NA	27.03.2019	2	1	Spadona Leaf	27.03.2019 Leaf	Spadona Leaf	27.03.2019 Leaf	19.3	19.3	7	8.86	5.3	66398	48541	73.11	48271	42558	64.1	36087	54.35
47	47	Spadona	Leaf	Leaf	Leaf	NA	27.03.2019	4	1	Spadona Leaf	27.03.2019 Leaf	Spadona Leaf	27.03.2019 Leaf	19.3	19.3	7	8.86	5.3	73966	53325	72.09	53012	46030	62.23	39706	53.68
53	53	Spadona	Leaf	Leaf	Leaf	NA	31.03.2019	5	1	Spadona Leaf	31.03.2019 Leaf	Spadona Leaf	31.03.2019 Leaf	13.0	18.1	11.9	17.33	14.32	67263	47975	71.32	46810	39824	59.21	31272	46.49
61	61	Spadona	Leaf	Leaf	Leaf	NA	31.03.2019	4	1	Spadona Leaf	31.03.2019 Leaf	Spadona Leaf	31.03.2019 Leaf	13.0	18.1	11.9	17.33	14.32	70688	50259	71.1	49370	43483	61.51	36714	51.94
64	64	Spadona	Leaf	Leaf	Leaf	NA	31.03.2019	6	1	Spadona Leaf	31.03.2019 Leaf	Spadona Leaf	31.03.2019 Leaf	13.0	18.1	11.9	17.33	14.32	68796	47560	69.13	46042	39172	56.94	32718	47.56
67	67	Spadona	Leaf	Leaf	Leaf	NA	31.03.2019	3	1	Spadona Leaf	31.03.2019 Leaf	Spadona Leaf	31.03.2019 Leaf	13.0	18.1	11.9	17.33	14.32	67939	46287	68.13	45095	39492	58.13	31309	46.08
70	70	Spadona	Leaf	Leaf	Leaf	NA	31.03.2019	1	1	Spadona Leaf	31.03.2019 Leaf	Spadona Leaf	31.03.2019 Leaf	13.0	18.1	11.9	17.33	14.32	73950	53111	71.82	52906	45588	61.65	42496	57.47
71	71	Spadona	Leaf	Leaf	Leaf	NA	31.03.2019	2	1	Spadona Leaf	31.03.2019 Leaf	Spadona Leaf	31.03.2019 Leaf	13.0	18.1	11.9	17.33	14.32	68538	46194	67.4	45067	38728	56.51	32057	46.77
91	91	Coscia	Leaf	Leaf	Leaf	NA	11.04.2019	9	1	Coscia Leaf	11.04.2019 Leaf	Coscia Leaf	11.04.2019 Leaf	23.2	22.6	7.3	9.17	3.77	78744	55935	71.03	55114	48384	61.44	37352	47.43
92	92	Coscia	Leaf	Leaf	Leaf	NA	11.04.2019	10	1	Coscia Leaf	11.04.2019 Leaf	Coscia Leaf	11.04.2019 Leaf	23.2	22.6	7.3	9.17	3.77	67222	46899	69.77	46005	40952	60.92	30338	45.13
93	93	Coscia	Leaf	Leaf	Leaf	NA	11.04.2019	11	1	Coscia Leaf	11.04.2019 Leaf	Coscia Leaf	11.04.2019 Leaf	23.2	22.6	7.3	9.17	3.77	67792	49531	73.06	48956	43917	64.78	34833	51.38
115	115	Coscia	Leaf	Leaf	Leaf	NA	11.04.2019	8	1	Coscia Leaf	11.04.2019 Leaf	Coscia Leaf	11.04.2019 Leaf	23.2	22.6	7.3	9.17	3.77	66745	46266	69.32	44798	38281	57.35	27256	40.84
116	116	Coscia	Leaf	Leaf	Leaf	NA	11.04.2019	7	1	Coscia Leaf	11.04.2019 Leaf	Coscia Leaf	11.04.2019 Leaf	23.2	22.6	7.3	9.17	3.77	71297	49780	69.82	48614	42541	59.67	32956	46.22
119	119	Coscia	Leaf	Leaf	Leaf	NA	11.04.2019	12	1	Coscia Leaf	11.04.2019 Leaf	Coscia Leaf	11.04.2019 Leaf	23.2	22.6	7.3	9.17	3.77	70190	47152	67.18	45944	39376	56.1	30642	43.66
122	122	Coscia	Leaf	Leaf	Leaf	NA	13.04.2019	9	1	Coscia Leaf	13.04.2019 Leaf	Coscia Leaf	13.04.2019 Leaf	31.7	27.7	8.3	9.24	9.34	66200	46512	70.26	45974	40953	61.86	31095	46.97
